Data,Hora,Produto,Preco
2026-12-13,13:50:32,Tablet-Sony-YGW098,12.97
2026-04-18,00:03:36,PlacaGrafica-Microsoft-GBD938,1.99
2026-07-03,19:44:04,MemoriaRAM-AMD-OGP085,309.43
2026-10-12,00:17:33,Processador-Xiaomi-QBJ106,254.53
2026-05-01,03:52:00,TV-Amazon-WYN236,1.99
2026-08-16,15:08:36,CaboUSB-HP-XRJ074,23.95
2026-06-17,19:20:24,Impressora-AMD-GAY925,320.41
2026-03-21,00:28:30,TV-Gigabyte-JJV248,605.89
2026-08-03,01:58:40,Projetor-Lenovo-LXA091,419.23
2026-07-20,16:50:49,CaboUSB-Huawei-IAL582,441.19
2026-03-07,03:47:42,CaboUSB-Lenovo-EZP467,67.87
2026-09-08,03:34:57,Drone-Microsoft-CFN074,188.65
2026-09-10,02:26:40,Processador-HP-YZL380,430.21
2026-01-13,05:50:00,Smartwatch-Acer-BXN381,1.99
2026-05-23,07:15:15,Processador-Microsoft-CVV333,221.59
2026-05-28,00:29:30,Smartphone-Amazon-JMS116,430.21
2026-11-09,07:48:58,Smartphone-Razer-RVT401,56.89
2026-01-27,21:33:20,Coluna-Dell-DWH357,34.93
2026-06-18,10:14:30,MemoriaRAM-Apple-CJS046,496.09
2026-06-06,16:02:48,Headphones-Apple-YMC164,12.97
2026-04-09,07:21:49,Carregador-Lenovo-OJL891,287.47
2026-10-09,11:44:06,MemoriaRAM-Intel-OLH028,111.79
2026-07-27,15:22:58,Router-Logitech-EHE522,221.59
2026-05-09,22:54:18,Laptop-Razer-QGT562,704.71
2026-08-22,20:55:10,Gamepad-Acer-GJX330,715.69
2026-01-12,16:15:00,Impressora-LG-BFC954,397.27
2026-01-05,03:27:10,CaboUSB-Lenovo-TRU347,1.99
2026-11-05,22:52:30,Projetor-Gigabyte-SAR947,397.27
2026-04-09,23:59:55,Camera-LG-LIP996,232.57
2026-04-16,10:25:18,Gamepad-Razer-EPU132,23.95
2026-05-17,05:08:48,Teclado-Nvidia-UQJ470,254.53
2026-09-10,06:40:00,CaboUSB-AMD-NAA615,792.55
2026-12-04,09:22:00,Impressora-MSI-VLN034,34.93
2026-10-07,01:03:27,Coluna-Motorola-VOH449,122.77
2026-12-20,22:12:56,Processador-Google-LOX765,155.71
2026-01-08,07:20:32,CaboUSB-Amazon-IIL817,12.97
2026-09-17,21:54:48,Monitor-Logitech-CLO836,441.19
2026-03-02,06:22:21,MemoriaRAM-Dell-BFY851,199.63
2026-03-24,05:05:19,CaboUSB-Huawei-SRI254,583.93
2026-08-25,23:08:00,Drone-Motorola-DOV430,452.17
2026-08-24,17:53:12,MemoriaRAM-Motorola-LAK015,232.57
2026-02-23,19:00:00,Camera-MSI-NLI761,199.63
2026-02-14,23:46:02,Router-Dell-VUJ110,155.71
2026-04-17,23:43:28,DiscoSSD-Google-JCH082,342.37
2026-08-23,22:40:44,Coluna-MSI-BAH718,474.13
2026-02-25,14:39:45,Rato-Acer-QBW383,375.31
2026-08-19,12:32:20,Projetor-Huawei-OWY742,550.99
2026-09-22,04:08:48,Tablet-LG-LVV642,67.87
2026-03-27,13:00:00,CaboUSB-Lenovo-BHV886,1.99
2026-04-08,12:42:00,Consola-Gigabyte-PMN953,100.81
2026-09-07,16:56:24,MemoriaRAM-Razer-WFX272,276.49
2026-01-16,18:02:40,Impressora-Razer-WYD684,605.89
2026-02-25,06:36:39,Impressora-Sony-FKV001,320.41
2026-12-04,12:52:53,Consola-Nokia-ZRK511,320.41
2026-09-23,17:39:20,Consola-AMD-BEM792,111.79
2026-04-04,18:44:55,Carregador-Apple-HCO461,441.19
2026-06-18,10:18:45,Motherboard-Alienware-NDP643,1001.17
2026-05-08,08:54:34,Rato-Amazon-MXS874,496.09
2026-09-12,02:33:12,CaboUSB-Sony-TOF433,232.57
2026-01-24,23:19:54,Rato-Nvidia-TSM780,1.99
2026-12-25,04:55:36,Impressora-MSI-TYJ723,78.85
2026-05-13,04:37:36,Camera-Apple-BUB516,89.83
2026-08-24,07:16:48,Smartphone-Google-USA070,12.97
